玩手机/刷app,2h 8m 42s,4.5
玩手机/意料外玩手机,36m 20s,1.3
玩手机/睡前玩手机,1h 11m 55s,2.5
家务,1h 20m 47s,2.8
饮食,56m 6s,1.9
饮食/烹饪,32m 4s,1.1
饮食/用餐,24m 2s,0.8
洗澡数据,52m 8s,1.8
洗澡数据/洗漱,15m 43s,0.5
洗澡数据/护肤时间,26m 5s,0.9
洗澡数据/洗澡时间,10m 20s,0.4
饮食+玩手机,28m 0s,1.0
饮食/用餐+玩手机/刷app,28m 0s,1.0
与家人的时间,12m 12s,0.4
其他,16h 38m 41s,34.7
总计,47h 59m 59s
